url,post_nummer,latitude,longitude,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris,salgsmaned,salgsar
https://www.boliga.dk/bolig/1843723/toftegaards_alle_41__4_tv_2500_valby,"Toftegårds Allé 41, 4. tv 2500 Valby",55.6581,12.5241,Ejerlejlighed,161,0,5,4,1932,0,2320,154,1,1,5995000,11,2021
https://www.boliga.dk/bolig/1843557/robert_jacobsens_vej_82_3_4_2300_koebenhavn_s,"Robert Jacobsens Vej 82, 3. 4 2300 København S",55.6759,12.5655,Ejerlejlighed,107,0,3,3,2010,0,2511,95,1,1,6250000,11,2021
https://www.boliga.dk/bolig/1843556/henrik_ibsens_vej_7_4_tv_1813_frederiksberg_c,"Henrik Ibsens Vej 7, 4. tv 1813 Frederiksberg C",56.0,10.0,Ejerlejlighed,96,0,4,4,1900,0,1731,87,1,1,6495000,11,2021
https://www.boliga.dk/bolig/1843495/dronningens_tvaergade_36_6__nr_3_1302_koebenhavn_k,"Dronningens Tværgade 36, 6. 3 1302 København K",55.6759,12.5655,Ejerlejlighed,85,0,2,6,1957,,0,78,1,1,6795000,11,2021
https://www.boliga.dk/bolig/1843549/rahbeks_alle_24_st_tv_1801_frederiksberg_c,"Rahbeks Alle 24, st. tv 1801 Frederiksberg C",56.0,10.0,Ejerlejlighed,91,0,3,0,1904,0,1567,80,1,1,6995000,11,2021
https://www.boliga.dk/bolig/1843803/robert_jacobsens_vej_89_9_2300_koebenhavn_s,"Robert Jacobsens Vej 89, 9. 2300 København S",55.620881,12.573298,Ejerlejlighed,145,0,4,9,2009,0,3349,131,1,1,8000000,11,2021
https://www.boliga.dk/bolig/1843534/dronningens_tvaergade_5_st_1302_koebenhavn_k,"Dronningens Tværgade 5, st. 1302 København K",55.683272,12.588005,Ejerlejlighed,256,0,7,0,1794,0,3333,237,2,2,16000000,11,2021
https://www.boliga.dk/bolig/1843443/toennesvej_12_1_tv_2300_koebenhavn_s,"Tønnesvej 12, 1. tv 2300 København S",55.6759,12.5655,Ejerlejlighed,59,0,2,1,1935,0,755,53,1,1,2195000,11,2021
https://www.boliga.dk/bolig/1843438/flakholmen_10_st_th_2720_vanloese,"Flakholmen 10, st. th 2720 Vanløse",55.6836,12.4871,Ejerlejlighed,64,0,3,0,1938,0,1018,59,1,1,2595000,11,2021
https://www.boliga.dk/bolig/1843451/ordrupvej_70b_2_th_2920_charlottenlund,"Ordrupvej 70B, 2. th 2920 Charlottenlund",55.7537,12.5918,Ejerlejlighed,68,0,2,2,1936,0,796,59,1,1,2595000,11,2021
https://www.boliga.dk/bolig/1843454/jaegersborgvej_106_2_th_2820_gentofte,"Jægersborgvej 106, 2. th 2820 Gentofte",55.749,12.546,Ejerlejlighed,94,0,4,2,1949,0,1108,89,1,1,2800000,11,2021
https://www.boliga.dk/bolig/1841964/enghavevej_9__4_tv_1674_koebenhavn_v,"Enghavevej 9, 4. tv 1674 København V",55.6759,12.5655,Ejerlejlighed,51,0,2,4,1895,0,769,43,1,1,2995000,11,2021
https://www.boliga.dk/bolig/1823058/frederikssundsvej_394__1_th_2700_broenshoej,"Frederikssundsvej 394, 1. th 2700 Brønshøj",55.7057,12.4964,Ejerlejlighed,72,0,3,1,1954,0,1289,66,1,1,2245000,11,2021
https://www.boliga.dk/bolig/1819743/snogegaardsvaenget_4__1_mf_2820_gentofte,"Snogegårdsvænget 4, 1. mf 2820 Gentofte",55.749,12.546,Ejerlejlighed,40,0,2,1,1958,0,614,47,1,1,1595000,11,2021
https://www.boliga.dk/bolig/1841964/enghavevej_9__4_tv_1674_koebenhavn_v,"Enghavevej 9, 4. tv 1674 København V",55.6759,12.5655,Ejerlejlighed,51,0,2,4,1895,0,769,43,1,1,2995000,11,2021
https://www.boliga.dk/bolig/1823058/frederikssundsvej_394__1_th_2700_broenshoej,"Frederikssundsvej 394, 1. th 2700 Brønshøj",55.7057,12.4964,Ejerlejlighed,72,0,3,1,1954,0,1289,66,1,1,2245000,11,2021
https://www.boliga.dk/bolig/1819743/snogegaardsvaenget_4__1_mf_2820_gentofte,"Snogegårdsvænget 4, 1. mf 2820 Gentofte",55.749,12.546,Ejerlejlighed,40,0,2,1,1958,0,614,47,1,1,1595000,11,2021
https://www.boliga.dk/bolig/1843452/soelleroedgade_22_st_tv_2200_koebenhavn_n,"Søllerødgade 22, st. tv 2200 København N",55.6759,12.5655,Ejerlejlighed,53,0,2,0,1903,0,679,46,1,1,2895000,11,2021
https://www.boliga.dk/bolig/1843442/cf_moellers_alle_28_st_th_oerestad_2300_koebenhavn_s,"C.F. Møllers Allé 28, st. th 2300 København S",55.6759,12.5655,Ejerlejlighed,92,0,2,0,2007,0,1971,83,1,1,3995000,11,2021
https://www.boliga.dk/bolig/1843470/edvard_thomsens_vej_5c_9_tv_2300_koebenhavn_s,"Edvard Thomsens Vej 5C, 9. tv 2300 København S",55.6759,12.5655,Ejerlejlighed,112,0,4,9,2007,0,2632,106,1,1,4898000,11,2021
https://www.boliga.dk/bolig/1843462/ahornsgade_19_st_2200_koebenhavn_n,"Ahornsgade 19, st. 2200 København N",55.691709,12.559335,Ejerlejlighed,97,0,3,0,1886,0,1050,80,1,1,4998000,11,2021
https://www.boliga.dk/bolig/1843445/oerestads_boulevard_55a_4_409_2300_koebenhavn_s,"Ørestads Boulevard 55A, 4. 409 2300 København S",55.6759,12.5655,Ejerlejlighed,131,0,2,4,2008,0,3246,109,1,1,5900000,11,2021
https://www.boliga.dk/bolig/1843439/evanstonevej_2_2_th_2900_hellerup,"Evanstonevej 2, 2. th 2900 Hellerup",55.732,12.5709,Ejerlejlighed,108,0,4,2,1988,0,2232,102,1,1,6395000,11,2021
https://www.boliga.dk/bolig/1843444/noerregade_35_2_1165_koebenhavn_k,"Nørregade 35, 2. 1165 København K",55.6812727,12.57118,Ejerlejlighed,125,0,5,2,1900,0,3964,109,1,1,8650000,11,2021
https://www.boliga.dk/bolig/1843426/vejlebrovej_114_2_mf_2635_ishoej,"Vejlebrovej 114, 2. mf 2635 Ishøj",55.6154,12.3518,Ejerlejlighed,35,0,1,2,1969,0,349,35,1,1,1045000,11,2021
https://www.boliga.dk/bolig/1843404/langelunden_8_2_tv_niveroed_2990_nivaa,"Langelunden 8, 2. tv 2990 Nivå",55.9341,12.5048,Ejerlejlighed,86,0,3,2,1971,0,752,84,1,1,1595000,11,2021
https://www.boliga.dk/bolig/1843289/svanevej_15_1_tv_2400_koebenhavn_nv,"Svanevej 15, 1. tv 2400 København NV",55.6759,12.5655,Ejerlejlighed,52,0,2,1,1935,0,809,46,1,1,2595000,11,2021
https://www.boliga.dk/bolig/1843421/sommerstedgade_28__4_tv_1718_koebenhavn_v,"Sommerstedgade 28, 4. tv 1718 København V",55.6759,12.5655,Ejerlejlighed,59,0,2,4,1906,0,953,51,1,1,4195000,11,2021
https://www.boliga.dk/bolig/1843431/wildersgade_45_3_tv_1408_koebenhavn_k,"Wildersgade 45, 3. tv 1408 København K",55.6759,12.5655,Ejerlejlighed,76,0,3,3,1848,0,1094,80,1,1,5850000,11,2021
https://www.boliga.dk/bolig/1843432/overgaden_oven_vandet_30b_st_tv_1415_koebenhavn_k,"Overgaden Oven Vandet 30B, st. tv 1415 København K",55.6759,12.5655,Ejerlejlighed,80,0,2,0,1882,0,1505,72,1,0,6200000,11,2021
https://www.boliga.dk/bolig/1843123/roennevangshusene_29__st_mf_2630_taastrup,"Rønnevangshusene 29, st. mf 2630 Taastrup",55.64518,12.286026,Ejerlejlighed,47,0,1,0,1970,0,521,43,1,1,1580000,11,2021
https://www.boliga.dk/bolig/1842999/rebaek_soepark_3_2__nr_204_2650_hvidovre,"Rebæk Søpark 3, 2. 204 2650 Hvidovre",55.6572,12.4736,Ejerlejlighed,61,0,2,2,1972,0,282,49,1,1,1675000,11,2021
https://www.boliga.dk/bolig/1843288/drejoegade_26b_2_202_2100_koebenhavn_oe,"Drejøgade 26B, 2. 202 2100 København Ø",55.6759,12.5655,Ejerlejlighed,39,0,1,2,1974,0,701,34,1,1,1995000,11,2021
https://www.boliga.dk/bolig/1843376/vibevej_28__1_th_2400_koebenhavn_nv,"Vibevej 28, 1. th 2400 København NV",55.6759,12.5655,Ejerlejlighed,57,0,2,1,1937,0,1081,53,1,1,2295000,11,2021
https://www.boliga.dk/bolig/1843168/roskildevej_147_2_th_2500_valby,"Roskildevej 147, 2. th 2500 Valby",55.6581,12.5241,Ejerlejlighed,54,0,2,2,1932,0,783,49,1,1,2368000,11,2021
https://www.boliga.dk/bolig/1843115/hyltebjerg_alle_50a_3_tv_2720_vanloese,"Hyltebjerg Allé 50A, 3. tv 2720 Vanløse",55.6836,12.4871,Ejerlejlighed,51,0,2,3,1950,1976,868,46,1,1,2395000,11,2021
https://www.boliga.dk/bolig/1843373/aertevej_15__2_3_2700_broenshoej,"Ærtevej 15, 2. 3 2700 Brønshøj",55.7064807,12.4922147,Ejerlejlighed,72,0,2,2,1935,0,1189,66,1,1,2495000,11,2021
https://www.boliga.dk/bolig/1843371/buddinge_hovedgade_224__st_tv_2880_bagsvaerd,"Buddinge Hovedgade 224, st. tv 2880 Bagsværd",55.7618,12.4679,Ejerlejlighed,80,0,3,0,1946,0,1355,55,1,1,2550000,11,2021
https://www.boliga.dk/bolig/1843190/kastrupvej_60_4_th_2300_koebenhavn_s,"Kastrupvej 60, 4. th 2300 København S",55.6759,12.5655,Ejerlejlighed,59,0,2,4,1935,0,817,55,1,1,2695000,11,2021
https://www.boliga.dk/bolig/1843287/enghavevej_19_5_th_1674_koebenhavn_v,"Enghavevej 19, 5. th 1674 København V",55.6759,12.5655,Ejerlejlighed,48,0,2,5,1895,0,686,40,1,1,2695000,11,2021
https://www.boliga.dk/bolig/1843105/vestbanevej_20_2_tv_2500_valby,"Vestbanevej 20, 2. tv 2500 Valby",55.6581,12.5241,Ejerlejlighed,58,0,2,2,1934,0,861,50,1,1,2850000,11,2021
